case_id,source,variant_index,passed,format_valid,attempt_count,failure_class,failures,query,parsed_targets,parsed_trends,parsed_single_relations
plateau,model_evaluation,1,True,True,1,pass,,"Find patterns that initially rise, then flatten, and finally decline.",[],"[""up"", ""flat"", ""down""]",[]
plateau,model_evaluation,2,True,True,1,pass,,"Find intervals where the series rises, stays flat, and then falls.",[],"[""up"", ""flat"", ""down""]",[]
plateau,model_evaluation,3,True,True,1,pass,,Look for a pattern with an upward trend followed by a stable segment and then a downward trend.,[],"[""up"", ""flat"", ""down""]",[]
basin,model_evaluation,1,True,True,1,pass,,"Find patterns that initially decline, then flatten, and finally rise.",[],"[""down"", ""flat"", ""up""]",[]
basin,model_evaluation,2,True,True,1,pass,,"Find intervals where the series falls, stays flat, and then rises.",[],"[""down"", ""flat"", ""up""]",[]
basin,model_evaluation,3,True,True,1,pass,,Look for a pattern with a downward trend followed by a stable segment and then an upward trend.,[],"[""down"", ""flat"", ""up""]",[]
double_top,model_evaluation,1,True,True,1,pass,,Find patterns that exhibit two consecutive peaks with approximately equal values.,[],"[""up"", ""down"", ""up"", ""down""]","[[0, 2, ""end_value"", ""~=""]]"
double_top,model_evaluation,2,True,True,1,pass,,Find intervals with two peaks in a row where the two peak values are about the same.,[],"[""up"", ""down"", ""up"", ""down""]","[[0, 2, ""end_value"", ""~=""]]"
double_top,model_evaluation,3,True,True,1,pass,,Look for a double-top shape where the first peak and the second peak reach approximately equal heights.,[],"[""up"", ""down"", ""up"", ""down""]","[[0, 2, ""end_value"", ""~=""]]"
head_and_shoulders,model_evaluation,1,True,True,1,pass,,"Find patterns that exhibit three consecutive peaks, where the middle peak is higher than the other two.",[],"[""up"", ""down"", ""up"", ""down"", ""up"", ""down""]","[[2, 0, ""end_value"", "">""], [2, 4, ""end_value"", "">""]]"
head_and_shoulders,model_evaluation,2,True,True,1,pass,,Find a head-and-shoulders shape with three peaks and the center peak higher than both side peaks.,[],"[""up"", ""down"", ""up"", ""down"", ""up"", ""down""]","[[2, 0, ""end_value"", "">""], [2, 4, ""end_value"", "">""]]"
head_and_shoulders,model_evaluation,3,True,True,1,pass,,Look for three consecutive peaks in which the second peak is taller than the first and third peaks.,[],"[""up"", ""down"", ""up"", ""down"", ""up"", ""down""]","[[2, 0, ""end_value"", "">""], [2, 4, ""end_value"", "">""]]"
rising_three_tops,model_evaluation,1,True,True,1,pass,,Find patterns that exhibit three consecutive peaks with increasing values.,[],"[""up"", ""down"", ""up"", ""down"", ""up"", ""down""]","[[2, 0, ""end_value"", "">""], [4, 2, ""end_value"", "">""]]"
rising_three_tops,model_evaluation,2,True,True,1,pass,,"Find intervals with three peaks in a row, where each later peak is higher than the previous one.",[],"[""up"", ""down"", ""up"", ""down"", ""up"", ""down""]","[[2, 0, ""end_value"", "">""], [4, 2, ""end_value"", "">""]]"
rising_three_tops,model_evaluation,3,True,True,1,pass,,Look for a sequence of three consecutive tops whose peak values rise from left to right.,[],"[""up"", ""down"", ""up"", ""down"", ""up"", ""down""]","[[2, 0, ""end_value"", "">""], [4, 2, ""end_value"", "">""]]"
falling_two_bottoms,model_evaluation,1,True,True,1,pass,,Find patterns that exhibit two consecutive valleys with decreasing values.,[],"[""down"", ""up"", ""down"", ""up""]","[[0, 2, ""end_value"", "">""]]"
falling_two_bottoms,model_evaluation,2,True,True,2,pass,,Find intervals with two valleys in a row where the second valley is lower than the first.,[],"[""down"", ""up"", ""down"", ""up""]","[[0, 2, ""end_value"", "">""]]"
falling_two_bottoms,model_evaluation,3,True,True,1,pass,,Look for a double-bottom-like shape whose second bottom reaches a lower value than the first bottom.,[],"[""down"", ""up"", ""down"", ""up""]","[[0, 2, ""end_value"", "">""]]"
target_duration_intensity,parser_feature,1,True,True,1,pass,,Find periods in AMZN where the price rises sharply for about two weeks and then falls gradually.,"[""AMZN""]","[""up"", ""down""]",[]
target_duration_intensity,parser_feature,2,True,True,1,pass,,"In AMZN, look for a sharp rise lasting around two weeks followed by a gradual decline.","[""AMZN""]","[""up"", ""down""]",[]
target_duration_intensity,parser_feature,3,True,True,2,pass,,"Search AMZN for intervals with an upward trend of about two weeks that is sharp, followed by a gentle fall.","[""AMZN""]","[""up"", ""down""]",[]
explicit_multi_relation,parser_feature,1,True,True,1,pass,,"Find a pattern that rises, then rises again with a smaller relative slope than the first rise, and then rises once more with a duration approximately equal to the first rise.",[],"[""up"", ""up"", ""up""]","[[0, 1, ""relative_slope"", "">""], [0, 2, ""duration"", ""~=""]]"
explicit_multi_relation,parser_feature,2,True,True,1,pass,,"Look for three rising trends where the second rise is less steep in relative slope than the first, and the third rise lasts about as long as the first.",[],"[""up"", ""up"", ""up""]","[[0, 1, ""relative_slope"", "">""], [0, 2, ""duration"", ""~=""]]"
explicit_multi_relation,parser_feature,3,True,True,1,pass,,"Find intervals with an initial rise, a second rise with a smaller relative slope, and a third rise whose duration is approximately equal to the first rise.",[],"[""up"", ""up"", ""up""]","[[0, 1, ""relative_slope"", "">""], [0, 2, ""duration"", ""~=""]]"
